ROCO_81826	 Model bone showing the extent of graft insertion
ROCO_85698	 SHG image of an optical section taken about 100 µm below the cut surface of the corneal physical section. An area (cropped from a larger image) of approximately 6 × 4 images each 512 × 512 pixels in size is shown, using simple tiling without orientation correction, edge matching or any image processing. Bright features correspond to SHG scattering at 400 nm, in the forward (transmitted) direction, of laser light at 800 nm in approximately 140 fs pulses. SHG contrast in the image derives from a complex distribution of nonlinear susceptibility in non-centro-symmetric fibrillar collagen structures of varying diameters as well as linear scattering at both the primary and secondary wavelengths. The cross-sectional area of the microfocus X-ray beam is shown by a solid white rectangle and the cross-sectional area of a typical scan is shown by an open white rectangle.
ROCO_85699	 Hydrolysis of Z-Arg-NHnapMeO by the cysteine proteinase occupying the penetration glands (pg) and the secretory canals (sc) of the cercariae examined with the fluorescence method vs. ventral sucker; t, tail
ROCO_85700	 Touch screen mounted in simulator. Note also one of the two eye-tracking cameras, an IR illumination pod and the face video camera mounted on the dash.
ROCO_85701	 Ports - left adrenalectomy
ROCO_85702	 Reverse CAMP test results of the selected S. pseudintermedius strains
ROCO_85703	 Radial maze for use with mice. Plexiglas doors can be lowered to limit access to all arms simultaneously. From Crusio, 1999 [4], with permission.
ROCO_85705	 A frame of a highspeed video recording that was processed by the tracking program.The position of the dancer can be marked with a rectangular box by the user for a starting frame. The position of its center and the angle of the box are found and stored for consecutive frames automatically.
ROCO_85706	 Mouse model.In order to establish different oxygen environments, the wound on one side of the dorsum was covered with an oxygen permeable membrane, and an oxygen impermeable membrane was applied to the wound on the other side. Oxygen sensor foils were attached under the membranes.
ROCO_85707	 Retraction of gallbladder with percutaneous retractors.
ROCO_85708	 Extensive perineal and scrotal debridement with bare testes
ROCO_85709	 A dental arch-form plate model designed for the linguoversion of the lateral incisor in the arch
ROCO_85710	 Demonstration of top-down processing when reading the statement “The Grand Illussion” under highly challenging conditions (at least challenging for automatic character recognition).
ROCO_85711	 New phantom, designed and constructed at this laboratory, for PET instrumentation calibrations (“cold” epoxy version; will contain Ge-68)
ROCO_85712	 3D transesophageal image of the Amplatzer PFO Occluder (arrow), the image shows the surface of the left atrial part of the device.
ROCO_85713	 Dilation of vein due to downstream occlusion. The dilated section of the vein is marked with red triangle. The laser patch is marked with blue arrow. The site of occlusion is marked with black arrow.
ROCO_85714	 Rembrandt’s etching of Dr Ephraim Bueno, 1647 (in public domain).
ROCO_85716	 Excluded angles by computer simulation above 60° in axial plane and below 30° in coronal plane are shown.
ROCO_85717	 William Alexander Hammond
ROCO_85718	 Direct laryngoscopic view of the vallecula showing large, bilateral cysts.
ROCO_85719	 Our 76 sample sites in the subnvial zone of the Green Lakes Valley within the Niwot Ridge LTER study site on eastern face of the Continental Divide in Colorado, USA (red outline represents the south-facing extent of exposed soils). From the north-east corner to the north-west corner of the study area is 2 km. These sites represent a subset of the sites in our previous study (shown in Figure 1 of King et al., 2010).
ROCO_85720	 Visible epiglottis on mouth opening (arrow)
ROCO_85721	 Quarantined laryngoscope blade. Used laryngoscope blade inside the plastic cover of the disposable PVC endotracheal tube
ROCO_85723	 An arthroscopic examination reveals that the surface of the articular cartilage above the bony protuberance is fibrillated and slightly depressed.
ROCO_85724	 Small midline incision for delivery of kidney graft.
ROCO_85725	 Three-dimensional transesophageal echocardiography of mitral valve (MV) with the NeoChord device (arrow) within the MV orifice. The grasping mechanism, which can be identified as the accentuation on the tip, is facing the P2 segment where there is the prolapse. Three-dimensional echocardiography imaging is especially valuable for identification of the prolapsing segment of the MV as well as for intraoperative navigation of the device. AML: Anterior mitral leaflet, PML: Posterior mitral leaflet
ROCO_85726	 Pre- and postoperative fused volumes with no intersection. Latissimus dorsi mini-flap muscle inside the breast is shown by the arrow.
ROCO_85727	 One to 2 months after constriction, the left ventricle dilates and a significant mitral insufficiency appears.
ROCO_85728	 Computed tomography aortogram reconstructed image of aorta prior to endovascular procedure, showing the de-branching procedure and the aortic arch and false lumen dilatation
ROCO_85729	 Orbital emphysema: Bilateral massive orbital swellings due to massive orbital emphysema complicating bronchopleural fistula.
ROCO_85731	 Operative photograph showing massively dilated, tortuous duodenum and atretic jejuno-ileum
ROCO_85733	 No micro leakage on none of the surfaces
ROCO_85734	 Skull illustrated in Samuel George Morton's Crania Americana [8].The 78 lithographs in Crania Americana set new standards for accuracy in anatomical illustration, as they were drawn carefully to scale and rechecked for accuracy multiple times, chiefly by John Collins [12],[13]. Indeed, the quality of the illustrations in this volume exceeds that of many modern publications. The remaining specimens in the Morton Collection are currently curated at the University of Pennsylvania Museum of Archaeology and Anthropology.
ROCO_85735	 Anatomy of Y-graft with two limbs anastomosed with superior mesenteric vein and splenic artery. After harvesting allograft from donor, arterial "Y-graft" is prepared on "back-table" with donor common iliac, internal, and external iliac arteries. Donor superior mesenteric artery (SMA) is anastomosed to donor external iliac artery limb of Y-graft, and donor splenic artery is anastomosed to donor internal iliac artery limb of Y-graft. Common iliac artery portion is then anastomosed to recipient's common iliac artery or external iliac artery.
ROCO_85736	 The patient at initial examination, showing a large, multinodular left neck mass extending from the parotid region onto the chest.
ROCO_85737	 MR venography showing there is no venous system involvement
ROCO_85740	 Intaglio surface of cement retained superstructure. The hole for the set screw is visible.
ROCO_85741	 Determination of antibacterial efficacy
ROCO_85742	 Intraoperative arteriography showing the distal occlusion of right tibial and peroneal arteries, with the typical “corkscrew” collateral arteries (black arrow), suggestive of a vasculitis.
ROCO_85744	 Positive isolates of Helicobacter pylori
ROCO_85745	  Flood zone map by 100 years return period, with and without Jiroft dam for the case study area.
ROCO_85746	 The modular heating disc configuration and the integrated wireless temperature module.
ROCO_85750	 Disease induced group urine-stones formation.
ROCO_85751	 Rhinostomy.
ROCO_85752	 The medial anterior root attachment (MARA) is shown to traverse laterally and over the top of the lateral anterior root attachment (LARA), as observed in all specimens. The posterior termination of the lateral meniscus at the ligament of Wrisberg (LOW), which was found to attach to the femur, is also noted. Meniscal structure is also described in relation to pertinent bony and soft tissue landmarks. TT, tibial tuberosity; EDLG, extensor digitorum longus groove; ACL, anterior cruciate ligament; MTE, medial tibial eminence; LTE, lateral tibial eminence; MPRA, medial posterior root attachment; PCL, posterior cruciate ligament
ROCO_85753	 Bracket after clinical use subjected to prophylaxis by air-powder polishing.
ROCO_85754	 Needle loop retractor
ROCO_85755	 Transverse plication, final step.
ROCO_85756	 Schematic illustration of the measurement of the distance between the cemento-enamel junction (CEJ) and the alveolar bone crest (ABC).Distance from the CEJ to the ABC was measured at four points indicated on the first molar to the third molar.
ROCO_85757	 Gamma Putty shielding on a patient who underwent electron beam therapy for a nose lesion
ROCO_85758	 After removal of the epithelial ingrowth, moderate flap edema and hazy interface opacities were observed. Double continuous 10 - 0 nylon sutures were made to prevent the recurrence of epithelial ingrowth.
ROCO_85759	 Minimal facial-lift skin incision for a right parotid stone.
ROCO_85760	 Anti-fungal activity of hydroalcoholic extract of A. tripedale (50 mg/ml) against C. parapsilosis well diffusion assay after 48 h
ROCO_85761	 Arthroscopy image of lateral meniscal tear before debridement.
ROCO_85762	 Resolution of left optic disc edema after treatment with ivermectin. High magnification.
ROCO_85763	 Cloudy on the details.A GAO report on the EPA Lead and Copper Rule shows that enforcement is not a clear-cut outcome.
ROCO_85764	 Traction on the umbilicus to show the umbilical scar.
ROCO_85765	 Fourier domain high resolution anterior segment ocular coherence tomography image showing the cross section of the intra stromal corneal rings within the cornea. The ICL can be seen with the vault measured at 0.488 mm
ROCO_85766	 Endoscopic vision of the TVT mesh that had eroded into the bladder.
ROCO_85770	 View of stones before retrieval in case 2.
ROCO_85772	 MRI: bi-frontal large Cerebrospinal fluid collection with hemorrhagic contents (Case 2).
ROCO_85773	 Customized neurosurgical guide manufactured by SLS with PA-12 powder (image courtesy of EOS GmbH/FHC, Inc.).563
ROCO_85775	 FasT-Fix meniscal repair device. The needle inserter, with both anchors loaded, is in position for the first pass across the meniscus tear.
ROCO_85776	 Foot-mounted accelerometer (Gold Standard) attached to the runner’s shoe
ROCO_85777	 Rocket Pleural vent device in situ.
ROCO_85779	 Formation of the right triangle. S'C: Distance from the target calyx (C) to its orthogonal projection on the plane of the center of the protractor (S'). S'E: Distance between point S' and the center of the protractor (E). CE: Distance from the target calyx (C) to the center of the protractor (E). D: Distance between the planes.
